id,punctuality,cancellationrate,ridescompleted,overallrating,physical_strength,experience,reliability,availability,communication_skills,languages_proficiency,safety_record,customer_reviews,age,weight,legal_documentation,health_condition,previous_health_history,cost_efficiency,location_knowledge,criminal_record,platform_access,schedule_awareness,overallperformance
1,52,26,9,80,66,12,96,13,89,3,53,64,27,78,Yes,Poor,Serious,10,3,Minor,Yes,High,
2,93,89,62,3,27,26,24,92,86,9,22,22,57,98,No,Poor,Mild,2,6,Minor,No,High,
3,15,60,37,20,2,16,23,58,59,7,21,60,55,94,No,Poor,Serious,9,3,Minor,Yes,Medium,
4,72,41,97,24,90,37,62,20,27,7,70,64,23,142,No,Fair,None,10,7,Major,No,Low,
5,61,29,51,54,17,22,96,92,49,6,70,93,25,79,No,Fair,Mild,9,10,Major,No,High,
6,21,15,44,33,33,29,37,72,77,8,4,72,40,65,No,Poor,Serious,1,9,Minor,Yes,High,
7,83,45,24,24,9,14,12,61,33,4,94,11,64,89,Yes,Poor,Serious,10,2,Major,Yes,Low,
8,87,65,79,75,43,28,55,39,98,8,75,14,43,68,No,Fair,None,3,5,Clean,Yes,High,
9,75,89,59,72,48,5,13,1,99,4,62,60,63,67,No,Fair,Mild,8,6,Clean,No,High,
10,75,71,32,36,39,47,23,3,1,8,62,30,60,50,No,Good,Serious,6,4,Clean,No,Low,
11,88,9,96,38,93,49,89,77,21,9,94,35,29,127,Yes,Good,None,5,4,Minor,Yes,Low,
12,100,88,88,84,42,30,99,92,55,3,95,85,43,96,No,Fair,Serious,5,4,Clean,Yes,Low,
13,24,1,52,99,26,46,30,62,6,3,24,37,30,115,Yes,Poor,Mild,6,2,Major,Yes,Low,
14,3,8,62,89,99,5,17,63,92,2,55,5,57,141,No,Poor,Serious,7,4,Minor,Yes,Medium,
15,22,88,58,99,50,12,62,25,81,10,9,83,35,143,No,Poor,Serious,1,1,Major,No,Low,
16,53,63,52,25,25,16,84,56,69,3,3,78,42,87,Yes,Poor,Serious,9,6,Clean,Yes,Medium,
17,2,11,12,93,24,26,89,33,95,3,31,26,50,100,No,Good,Serious,3,1,Clean,Yes,Medium,
18,88,81,39,18,13,26,86,38,5,5,40,62,64,112,Yes,Fair,None,4,10,Clean,Yes,Medium,
19,30,8,2,82,60,48,13,6,3,5,36,4,57,53,Yes,Poor,None,10,6,Minor,Yes,High,
20,38,35,3,66,7,21,59,58,53,2,24,89,60,50,No,Good,Mild,1,1,Major,No,Medium,
21,2,35,56,54,57,39,19,44,23,10,95,42,29,57,Yes,Poor,None,10,6,Minor,Yes,Medium,
22,64,33,81,35,36,36,49,45,53,6,6,89,61,78,No,Fair,None,3,10,Minor,No,High,
23,60,5,59,80,45,33,100,32,37,5,66,18,53,104,No,Good,Mild,2,8,Clean,Yes,High,
24,21,41,2,61,20,30,12,45,74,6,84,40,65,52,Yes,Fair,None,2,2,Minor,Yes,High,
25,33,28,2,41,65,37,61,61,74,1,92,72,21,81,Yes,Fair,None,1,2,Minor,No,Low,
26,76,7,92,100,8,23,19,47,83,5,75,39,22,59,Yes,Good,Mild,8,4,Clean,Yes,High,
27,58,73,54,33,16,10,76,21,17,9,4,14,54,123,Yes,Good,Mild,3,3,Minor,No,High,
28,22,72,87,68,14,5,9,80,85,10,79,32,25,132,No,Good,Mild,3,4,Clean,No,Medium,
29,89,12,96,33,76,36,71,85,78,2,6,51,59,83,No,Good,Serious,6,7,Clean,Yes,High,
30,49,34,97,14,87,34,28,75,73,1,94,38,45,146,Yes,Good,Serious,8,1,Clean,No,Low,
31,91,33,1,21,15,31,78,36,1,10,51,97,48,136,No,Good,Mild,9,6,Clean,No,High,
32,59,48,19,48,92,10,95,99,51,9,62,23,26,104,No,Good,Mild,9,3,Minor,No,Low,
33,42,23,2,20,98,19,52,19,45,10,57,63,46,141,No,Poor,Mild,4,10,Clean,No,High,
34,92,62,53,8,66,32,83,20,77,9,66,15,31,81,No,Fair,Serious,5,7,Clean,No,High,
35,60,88,44,7,32,1,16,57,4,9,79,97,57,99,Yes,Good,Serious,2,10,Minor,No,High,
36,80,37,90,67,87,5,69,18,62,6,75,25,58,56,Yes,Poor,None,9,2,Minor,No,High,
37,15,99,32,17,63,45,99,47,65,8,8,17,39,142,No,Poor,None,8,2,Major,No,Low,
38,62,44,70,33,86,4,12,49,32,1,26,97,28,57,Yes,Poor,Mild,3,4,Minor,Yes,Low,
39,62,86,32,48,51,16,25,14,34,10,51,66,40,114,Yes,Fair,Serious,9,1,Minor,Yes,Medium,
40,47,91,68,76,25,24,52,15,92,4,45,78,18,106,Yes,Good,Serious,3,3,Major,No,Low,
41,62,35,55,59,58,16,85,31,95,1,44,53,63,116,No,Poor,Serious,9,9,Minor,Yes,High,
42,51,65,75,86,63,2,100,1,72,8,5,51,54,137,No,Fair,Mild,2,7,Minor,No,Medium,
43,55,99,56,22,62,49,53,54,39,1,70,39,38,136,No,Fair,None,10,7,Minor,No,Medium,
44,64,47,17,30,22,28,23,3,26,3,26,51,43,108,Yes,Fair,Mild,9,4,Minor,Yes,Medium,
45,3,78,38,38,58,32,16,16,34,4,68,70,63,121,No,Poor,None,8,2,Major,No,High,
46,51,3,24,51,58,27,57,87,54,8,19,6,53,103,No,Good,None,9,4,Minor,No,Low,
47,7,1,69,54,86,20,39,57,3,6,84,67,40,150,Yes,Poor,Mild,5,6,Minor,No,High,
48,21,5,98,8,49,24,53,75,50,10,97,7,18,116,No,Poor,None,2,3,Major,No,Medium,
49,73,90,70,27,52,12,42,12,12,7,20,51,57,100,No,Good,None,8,1,Clean,Yes,High,
50,39,14,86,27,42,35,58,74,65,8,12,72,32,146,Yes,Good,Serious,6,8,Major,No,High,
51,18,27,11,98,70,33,39,96,54,2,47,42,38,141,Yes,Good,None,8,5,Clean,No,Low,
52,4,9,16,21,15,33,14,16,5,10,1,64,64,57,Yes,Fair,Mild,5,5,Major,No,Low,
53,89,79,97,30,54,43,95,72,94,8,90,15,26,83,No,Good,Mild,10,4,Major,Yes,Medium,
54,60,15,73,97,60,37,5,76,94,3,14,29,26,84,No,Poor,None,2,6,Minor,No,High,
55,14,90,59,28,97,12,35,24,57,7,64,33,27,145,No,Good,Serious,6,3,Clean,Yes,High,
56,9,42,70,64,8,3,87,28,17,3,38,94,43,137,Yes,Poor,Serious,5,9,Minor,Yes,Low,
57,90,77,80,97,53,1,93,8,47,7,37,27,58,127,Yes,Fair,None,5,5,Clean,No,High,
58,53,51,93,69,60,33,75,92,23,2,11,36,52,81,No,Poor,None,1,3,Major,No,High,
59,2,63,3,61,5,40,18,36,79,10,100,29,42,95,No,Poor,Mild,2,1,Major,Yes,High,
60,84,96,20,48,68,10,76,90,85,6,77,38,43,65,Yes,Good,None,8,10,Clean,No,Low,
61,92,52,59,19,6,43,9,8,14,3,3,57,28,117,Yes,Good,Serious,3,6,Minor,Yes,Medium,
62,60,96,36,4,96,44,74,58,66,3,33,97,55,86,Yes,Poor,None,10,2,Minor,Yes,Medium,
63,71,4,19,35,94,29,58,60,75,9,6,27,19,103,Yes,Good,Mild,3,3,Minor,No,High,
64,44,94,90,64,47,13,17,50,51,7,50,55,24,134,No,Fair,Mild,8,1,Minor,No,Medium,
65,8,23,67,49,99,12,7,28,38,5,10,33,35,63,Yes,Fair,Mild,8,9,Major,Yes,Low,
66,47,15,19,17,55,31,46,92,64,10,5,68,44,144,No,Good,Mild,2,8,Major,Yes,Low,
67,35,43,20,44,40,46,13,41,98,7,23,86,51,104,No,Fair,Mild,8,2,Major,Yes,Medium,
68,78,29,96,92,52,2,40,100,38,9,10,66,44,97,No,Good,None,1,8,Major,Yes,Medium,
69,81,36,71,30,16,35,42,64,50,1,44,10,34,131,Yes,Poor,None,6,9,Major,No,High,
70,36,13,52,93,13,23,9,27,98,7,2,5,60,56,Yes,Poor,None,8,1,Minor,No,Medium,
71,50,32,33,46,30,17,50,63,82,6,13,74,61,123,Yes,Fair,None,3,5,Minor,No,High,
72,4,71,40,6,19,26,27,17,30,10,40,97,41,56,Yes,Good,Mild,8,8,Minor,No,High,
73,2,59,39,99,17,8,66,73,79,9,2,38,42,82,No,Good,Serious,1,2,Minor,No,Low,
74,6,86,82,37,63,29,5,33,91,1,84,13,24,72,Yes,Fair,None,9,4,Major,Yes,Low,
75,54,28,1,24,19,26,29,84,51,4,65,31,23,134,Yes,Poor,Serious,9,7,Major,No,Low,
76,4,66,11,93,92,10,37,77,63,9,63,47,41,68,No,Fair,None,5,3,Major,No,Low,
77,54,42,92,46,58,26,38,92,98,4,73,100,50,68,Yes,Poor,None,10,5,Clean,No,Medium,
78,93,45,57,53,55,34,83,29,52,10,17,88,46,85,No,Good,Serious,4,8,Minor,No,Low,
79,63,62,89,95,90,41,8,13,38,3,9,52,60,78,No,Poor,Mild,6,10,Minor,No,Medium,
80,18,57,50,99,90,7,65,46,97,9,75,56,39,109,No,Fair,None,7,3,Major,Yes,Low,
81,90,6,23,60,62,4,86,35,88,2,15,15,43,131,No,Good,None,5,4,Minor,Yes,Medium,
82,44,28,31,97,23,45,17,6,79,4,24,29,45,51,No,Fair,None,10,9,Minor,Yes,High,
83,34,28,94,63,9,11,71,82,30,6,38,8,38,50,No,Fair,Serious,9,7,Major,No,Medium,
84,74,44,42,85,12,29,89,69,51,2,35,5,24,96,No,Poor,Mild,3,1,Clean,Yes,Medium,
85,62,84,99,32,1,36,45,47,81,8,94,29,34,118,No,Fair,Serious,7,4,Clean,Yes,Low,
86,100,30,7,87,58,25,4,25,5,8,95,47,37,69,Yes,Poor,Serious,10,4,Clean,No,Medium,
87,14,62,16,33,1,21,36,66,29,1,49,68,58,60,Yes,Good,Mild,10,9,Major,No,High,
88,95,75,90,67,34,36,70,10,4,3,69,76,37,51,Yes,Poor,Serious,5,6,Minor,No,High,
89,48,92,60,18,96,10,31,56,10,10,62,45,39,116,Yes,Good,Mild,7,9,Major,Yes,Low,
90,15,89,2,25,48,37,19,30,56,9,60,2,45,136,No,Poor,None,2,6,Major,Yes,High,
91,72,62,1,95,89,9,61,5,17,5,50,27,57,61,Yes,Fair,Mild,4,6,Minor,No,Medium,
92,78,97,48,54,1,24,54,33,74,6,78,95,24,69,No,Poor,None,2,5,Clean,No,High,
93,87,1,12,58,16,35,39,65,17,4,75,36,18,54,Yes,Poor,Serious,7,5,Clean,Yes,Low,
94,62,27,69,67,61,49,91,18,84,10,9,36,49,86,Yes,Good,Serious,2,2,Major,Yes,Medium,
95,40,62,37,46,64,35,74,96,88,2,34,26,30,87,Yes,Fair,None,1,8,Clean,No,Low,
96,85,77,32,24,63,48,90,49,69,8,76,43,47,143,No,Poor,Serious,9,8,Major,No,Medium,
97,80,3,9,32,69,36,19,11,34,6,99,27,40,58,Yes,Fair,Mild,1,1,Major,Yes,High,
98,82,70,99,47,22,18,39,85,6,5,35,69,36,147,No,Poor,None,8,8,Minor,No,Low,
99,53,72,19,86,93,49,67,26,53,9,1,20,49,102,No,Poor,Serious,2,5,Minor,Yes,Low,
100,24,27,48,23,67,39,45,63,66,1,40,11,47,93,Yes,Fair,None,8,2,Minor,Yes,Medium,
